,MVT_GT_Colorado Springs-Pueblo CO
2017-02-26,23.0
2017-04-09,19.0
2017-05-28,30.0
2017-06-04,13.0
2017-07-30,15.0
2017-09-03,13.0
2017-11-05,35.0
2018-01-14,23.0
2018-03-11,23.0
2018-03-25,12.0
2018-04-22,12.0
2018-06-24,18.0
2018-08-05,30.0
2018-08-12,20.0
2018-09-02,15.0
2018-09-30,27.0
2018-10-14,29.0
2018-11-18,21.0
2018-12-09,34.0
2019-01-06,13.0
2019-01-20,55.0
2019-02-10,18.0
2019-03-10,26.0
2019-03-17,11.0
2019-03-31,25.0
2019-04-14,10.0
2019-04-21,15.0
2019-06-23,16.0
2019-07-21,14.0
2019-07-28,32.0
2019-08-04,14.0
2019-08-18,14.0
2019-09-01,21.0
2019-10-06,20.0
2019-10-13,12.0
2019-10-20,14.0
2019-11-10,20.0
2019-11-17,21.0
2019-12-01,16.0
2019-12-08,10.0
2019-12-29,100.0
2020-01-05,18.0
2020-01-26,13.0
2020-05-10,14.0
2020-08-02,20.0
2020-08-09,14.0
2020-08-16,25.0
2020-08-30,34.0
2020-09-06,9.0
2020-09-20,12.0
2020-10-04,29.0
2020-11-15,17.0
2020-12-27,10.0
2021-01-24,18.0
2021-01-31,14.0
2021-02-07,18.0
2021-02-28,11.0
2021-03-07,11.0
2021-04-25,20.0
2021-05-02,11.0
2021-05-23,11.0
2021-07-11,19.0
2021-07-18,28.0
2021-09-26,15.0
2021-10-24,22.0
2021-11-28,15.0
2022-01-02,11.0
2022-02-13,11.0
2022-03-06,8.0
2022-03-20,10.0
2022-05-01,7.0
2022-05-08,10.0
2022-06-05,9.0
2022-07-03,9.0
2022-07-10,19.0
2022-07-17,19.0
2022-07-24,20.0
2022-08-21,8.0
2022-09-04,19.0
2022-10-16,14.0
2022-10-23,13.0
2022-11-13,21.0
2022-11-20,12.0
2022-12-11,31.0
2022-12-25,18.0
