,MVT_GT_Sacramento-Stockton-Modesto CA
2017-01-08,34.0
2017-01-15,15.0
2017-02-05,22.0
2017-02-12,33.0
2017-02-26,17.0
2017-03-05,31.0
2017-03-12,41.0
2017-03-19,52.0
2017-03-26,41.0
2017-04-02,18.0
2017-04-09,26.0
2017-04-16,21.0
2017-04-23,20.0
2017-04-30,51.0
2017-05-14,34.0
2017-05-21,44.0
2017-06-04,38.0
2017-06-11,18.0
2017-06-18,42.0
2017-06-25,26.0
2017-07-09,17.0
2017-07-16,35.0
2017-07-23,23.0
2017-07-30,60.0
2017-08-27,25.0
2017-09-03,24.0
2017-09-10,20.0
2017-09-24,28.0
2017-10-01,54.0
2017-10-15,35.0
2017-10-22,50.0
2017-11-12,39.0
2017-11-19,26.0
2017-11-26,23.0
2017-12-03,48.0
2017-12-24,46.0
2018-01-07,33.0
2018-01-14,23.0
2018-01-21,30.0
2018-02-04,42.0
2018-02-11,32.0
2018-03-04,24.0
2018-03-11,30.0
2018-03-25,21.0
2018-04-08,19.0
2018-04-15,47.0
2018-04-29,55.0
2018-05-06,25.0
2018-05-13,54.0
2018-05-20,54.0
2018-06-10,28.0
2018-06-17,29.0
2018-06-24,29.0
2018-07-15,22.0
2018-07-22,36.0
2018-07-29,52.0
2018-08-12,49.0
2018-08-19,14.0
2018-08-26,16.0
2018-09-02,58.0
2018-09-23,29.0
2018-10-07,31.0
2018-10-21,45.0
2018-10-28,43.0
2018-11-11,36.0
2018-11-25,83.0
2018-12-02,24.0
2018-12-09,72.0
2018-12-16,56.0
2018-12-30,20.0
2019-01-06,28.0
2019-01-13,17.0
2019-02-03,21.0
2019-02-10,18.0
2019-02-17,31.0
2019-02-24,17.0
2019-03-10,28.0
2019-03-17,29.0
2019-03-24,28.0
2019-03-31,28.0
2019-04-14,29.0
2019-04-28,60.0
2019-05-05,18.0
2019-05-12,59.0
2019-05-26,23.0
2019-06-02,22.0
2019-06-09,36.0
2019-06-16,44.0
2019-06-23,44.0
2019-06-30,17.0
2019-07-14,51.0
2019-07-21,28.0
2019-07-28,61.0
2019-08-11,77.0
2019-08-18,41.0
2019-09-01,34.0
2019-09-08,55.0
2019-09-15,71.0
2019-09-22,27.0
2019-09-29,26.0
2019-10-06,20.0
2019-10-20,25.0
2019-10-27,41.0
2019-11-03,30.0
2019-11-10,21.0
2019-11-17,49.0
2019-11-24,23.0
2019-12-08,14.0
2019-12-22,36.0
2019-12-29,28.0
2020-01-12,43.0
2020-01-26,18.0
2020-02-02,27.0
2020-02-09,19.0
2020-02-16,49.0
2020-02-23,42.0
2020-03-08,20.0
2020-04-05,26.0
2020-04-12,34.0
2020-05-10,22.0
2020-05-24,15.0
2020-05-31,66.0
2020-06-14,33.0
2020-06-21,28.0
2020-07-05,16.0
2020-07-19,22.0
2020-07-26,23.0
2020-08-02,42.0
2020-08-09,24.0
2020-08-16,45.0
2020-08-30,35.0
2020-09-13,26.0
2020-09-20,24.0
2020-09-27,25.0
2020-10-04,27.0
2020-10-11,30.0
2020-11-01,16.0
2020-11-08,30.0
2020-11-15,37.0
2020-11-22,28.0
2020-12-13,31.0
2020-12-20,18.0
2020-12-27,13.0
2021-01-10,23.0
2021-01-17,33.0
2021-01-24,27.0
2021-02-14,29.0
2021-02-21,21.0
2021-03-07,18.0
2021-03-14,34.0
2021-03-28,31.0
2021-04-04,15.0
2021-04-11,21.0
2021-04-18,13.0
2021-04-25,14.0
2021-05-16,64.0
2021-05-23,20.0
2021-06-27,55.0
2021-07-04,15.0
2021-07-25,38.0
2021-08-08,28.0
2021-08-15,15.0
2021-08-22,37.0
2021-08-29,66.0
2021-09-12,23.0
2021-09-19,17.0
2021-09-26,32.0
2021-10-10,21.0
2021-10-31,31.0
2021-11-07,58.0
2021-11-14,15.0
2021-11-21,100.0
2021-11-28,21.0
2021-12-05,23.0
2021-12-19,21.0
2021-12-26,35.0
2022-01-02,33.0
2022-01-09,15.0
2022-01-16,31.0
2022-01-23,23.0
2022-02-06,46.0
2022-02-13,17.0
2022-03-13,23.0
2022-03-20,28.0
2022-04-03,36.0
2022-04-10,62.0
2022-05-01,11.0
2022-05-15,21.0
2022-05-22,35.0
2022-05-29,43.0
2022-06-05,18.0
2022-06-19,26.0
2022-06-26,29.0
2022-07-17,15.0
2022-07-24,35.0
2022-07-31,25.0
2022-08-07,43.0
2022-08-14,43.0
2022-08-28,27.0
2022-09-11,16.0
2022-09-18,19.0
2022-09-25,22.0
2022-10-09,32.0
2022-10-16,43.0
2022-10-23,14.0
2022-10-30,34.0
2022-11-06,45.0
2022-11-13,26.0
2022-11-20,16.0
2022-12-04,20.0
2022-12-18,26.0
2022-12-25,45.0
