,MVT_GT_Atlanta GA
2017-01-01,49.0
2017-01-08,33.0
2017-01-15,11.0
2017-01-22,24.0
2017-01-29,23.0
2017-02-19,23.0
2017-03-05,22.0
2017-03-12,9.0
2017-03-19,11.0
2017-03-26,30.0
2017-04-09,19.0
2017-04-23,17.0
2017-04-30,19.0
2017-05-07,69.0
2017-05-14,29.0
2017-05-21,42.0
2017-06-04,31.0
2017-06-11,29.0
2017-06-18,43.0
2017-06-25,26.0
2017-07-02,36.0
2017-07-09,23.0
2017-07-16,25.0
2017-07-23,30.0
2017-07-30,23.0
2017-08-06,16.0
2017-08-13,11.0
2017-08-20,28.0
2017-08-27,36.0
2017-09-03,30.0
2017-09-10,10.0
2017-09-17,10.0
2017-09-24,11.0
2017-10-01,56.0
2017-10-15,18.0
2017-10-22,27.0
2017-10-29,16.0
2017-11-05,44.0
2017-11-12,59.0
2017-11-19,38.0
2017-11-26,17.0
2017-12-03,9.0
2017-12-10,12.0
2017-12-24,34.0
2017-12-31,66.0
2018-01-14,30.0
2018-01-21,54.0
2018-01-28,30.0
2018-02-04,48.0
2018-02-11,26.0
2018-02-25,26.0
2018-03-04,29.0
2018-03-18,16.0
2018-04-08,48.0
2018-04-15,28.0
2018-04-22,12.0
2018-04-29,36.0
2018-05-06,28.0
2018-05-13,19.0
2018-05-20,17.0
2018-05-27,16.0
2018-06-03,17.0
2018-06-10,17.0
2018-06-17,17.0
2018-06-24,16.0
2018-07-01,32.0
2018-07-08,14.0
2018-07-15,46.0
2018-07-29,31.0
2018-08-12,24.0
2018-08-19,41.0
2018-08-26,16.0
2018-09-02,13.0
2018-09-09,20.0
2018-09-16,33.0
2018-09-23,37.0
2018-09-30,45.0
2018-10-07,48.0
2018-10-14,23.0
2018-10-21,42.0
2018-10-28,18.0
2018-11-04,13.0
2018-11-11,25.0
2018-11-18,43.0
2018-11-25,34.0
2018-12-02,32.0
2018-12-16,21.0
2018-12-30,53.0
2019-01-06,46.0
2019-01-13,16.0
2019-01-20,51.0
2019-01-27,30.0
2019-02-03,45.0
2019-02-10,42.0
2019-02-24,34.0
2019-03-03,40.0
2019-03-17,22.0
2019-03-31,27.0
2019-04-14,16.0
2019-04-21,34.0
2019-04-28,20.0
2019-05-05,20.0
2019-05-12,22.0
2019-05-19,28.0
2019-05-26,28.0
2019-06-02,23.0
2019-06-09,17.0
2019-06-16,16.0
2019-06-23,23.0
2019-06-30,55.0
2019-07-07,29.0
2019-07-14,26.0
2019-07-21,38.0
2019-07-28,20.0
2019-08-04,28.0
2019-08-11,37.0
2019-08-18,26.0
2019-08-25,52.0
2019-09-01,28.0
2019-09-08,16.0
2019-09-15,24.0
2019-09-22,27.0
2019-10-06,51.0
2019-10-13,17.0
2019-10-20,26.0
2019-10-27,37.0
2019-11-03,18.0
2019-11-17,32.0
2019-12-01,42.0
2019-12-08,24.0
2019-12-15,30.0
2019-12-22,44.0
2019-12-29,23.0
2020-01-05,32.0
2020-01-12,21.0
2020-01-26,9.0
2020-02-02,26.0
2020-02-09,28.0
2020-02-16,54.0
2020-02-23,20.0
2020-03-01,32.0
2020-03-08,21.0
2020-03-15,20.0
2020-03-22,31.0
2020-03-29,27.0
2020-04-05,10.0
2020-04-12,13.0
2020-04-19,9.0
2020-04-26,27.0
2020-05-03,25.0
2020-05-10,21.0
2020-05-17,23.0
2020-05-31,22.0
2020-06-07,17.0
2020-06-14,21.0
2020-06-21,16.0
2020-06-28,30.0
2020-07-05,13.0
2020-07-12,20.0
2020-07-19,20.0
2020-08-02,28.0
2020-08-09,36.0
2020-08-23,22.0
2020-08-30,11.0
2020-09-06,30.0
2020-09-20,27.0
2020-09-27,32.0
2020-10-04,34.0
2020-10-11,30.0
2020-10-18,15.0
2020-10-25,34.0
2020-11-01,17.0
2020-11-08,23.0
2020-11-15,13.0
2020-12-06,34.0
2020-12-13,33.0
2020-12-20,40.0
2020-12-27,33.0
2021-01-03,23.0
2021-01-10,38.0
2021-01-17,42.0
2021-01-24,31.0
2021-01-31,59.0
2021-02-07,54.0
2021-02-14,18.0
2021-02-28,24.0
2021-03-07,13.0
2021-03-14,36.0
2021-03-21,12.0
2021-04-04,28.0
2021-04-11,44.0
2021-04-18,20.0
2021-04-25,13.0
2021-05-02,34.0
2021-05-09,25.0
2021-05-16,43.0
2021-05-23,100.0
2021-05-30,30.0
2021-06-06,27.0
2021-06-27,17.0
2021-07-04,23.0
2021-07-11,46.0
2021-07-18,45.0
2021-07-25,42.0
2021-08-01,11.0
2021-08-08,21.0
2021-08-22,13.0
2021-08-29,25.0
2021-09-05,29.0
2021-09-12,34.0
2021-09-19,43.0
2021-09-26,35.0
2021-10-03,11.0
2021-10-17,30.0
2021-10-24,12.0
2021-11-07,42.0
2021-11-21,46.0
2021-11-28,14.0
2021-12-05,10.0
2021-12-12,60.0
2021-12-19,18.0
2022-01-16,27.0
2022-01-23,21.0
2022-01-30,16.0
2022-02-06,36.0
2022-02-20,36.0
2022-02-27,11.0
2022-03-06,31.0
2022-03-13,28.0
2022-03-20,8.0
2022-04-03,34.0
2022-04-10,45.0
2022-04-17,28.0
2022-04-24,45.0
2022-05-01,29.0
2022-05-08,30.0
2022-05-15,29.0
2022-05-22,35.0
2022-05-29,20.0
2022-06-12,24.0
2022-06-19,57.0
2022-06-26,16.0
2022-07-10,46.0
2022-07-17,25.0
2022-07-24,19.0
2022-07-31,14.0
2022-08-07,22.0
2022-08-14,17.0
2022-08-21,13.0
2022-08-28,38.0
2022-09-04,44.0
2022-09-11,17.0
2022-09-18,33.0
2022-09-25,26.0
2022-10-02,34.0
2022-10-09,17.0
2022-10-16,16.0
2022-10-23,23.0
2022-10-30,22.0
2022-11-06,27.0
2022-11-13,35.0
2022-11-20,32.0
2022-11-27,11.0
2022-12-04,14.0
2022-12-11,41.0
2022-12-18,52.0
