,MVT_GT_San Antonio TX
2017-01-15,20.0
2017-02-05,22.0
2017-03-19,22.0
2017-04-02,34.0
2017-04-16,35.0
2017-04-23,77.0
2017-04-30,98.0
2017-06-04,49.0
2017-06-18,17.0
2017-06-25,93.0
2017-07-02,18.0
2017-07-16,62.0
2017-07-30,27.0
2017-09-03,47.0
2017-09-17,30.0
2017-10-01,51.0
2017-10-08,27.0
2017-11-12,44.0
2017-11-19,31.0
2017-12-24,39.0
2018-02-25,22.0
2018-04-01,19.0
2018-04-15,49.0
2018-05-06,56.0
2018-05-27,26.0
2018-07-01,29.0
2018-07-08,44.0
2018-08-12,34.0
2018-08-19,21.0
2018-09-09,35.0
2018-09-23,16.0
2018-10-07,55.0
2018-10-21,20.0
2018-10-28,20.0
2018-11-18,34.0
2018-11-25,37.0
2019-01-13,22.0
2019-01-20,68.0
2019-02-10,26.0
2019-02-17,36.0
2019-05-19,43.0
2019-05-26,27.0
2019-06-02,35.0
2019-08-18,48.0
2019-09-01,46.0
2019-09-08,18.0
2019-10-13,20.0
2019-11-10,19.0
2019-11-24,14.0
2019-12-08,12.0
2019-12-29,18.0
2020-01-12,23.0
2020-02-02,14.0
2020-02-23,28.0
2020-03-01,20.0
2020-04-19,16.0
2020-04-26,19.0
2020-05-10,16.0
2020-05-24,20.0
2020-05-31,20.0
2020-06-07,20.0
2020-06-14,15.0
2020-06-28,18.0
2020-07-05,23.0
2020-07-12,31.0
2020-07-19,46.0
2020-07-26,18.0
2020-08-02,27.0
2020-08-16,35.0
2020-09-13,25.0
2020-09-20,60.0
2020-10-04,19.0
2020-10-11,24.0
2020-11-08,16.0
2020-11-15,22.0
2020-11-29,14.0
2021-01-03,30.0
2021-01-17,54.0
2021-01-24,44.0
2021-02-07,46.0
2021-02-21,41.0
2021-02-28,21.0
2021-03-07,21.0
2021-03-21,100.0
2021-05-02,82.0
2021-05-16,32.0
2021-05-30,24.0
2021-06-13,16.0
2021-06-27,28.0
2021-08-15,18.0
2021-08-22,20.0
2021-08-29,57.0
2021-10-10,30.0
2021-10-24,23.0
2021-11-07,19.0
2021-11-14,31.0
2021-11-28,31.0
2021-12-19,28.0
2022-01-23,28.0
2022-02-13,40.0
2022-02-20,16.0
2022-03-06,43.0
2022-03-13,17.0
2022-03-27,20.0
2022-04-03,20.0
2022-04-24,45.0
2022-05-01,22.0
2022-05-08,41.0
2022-05-15,46.0
2022-05-29,32.0
2022-06-05,30.0
2022-06-26,24.0
2022-07-10,15.0
2022-07-24,33.0
2022-07-31,16.0
2022-08-07,24.0
2022-08-14,30.0
2022-08-28,12.0
2022-10-02,40.0
2022-10-09,18.0
2022-10-30,49.0
2022-11-20,13.0
2022-11-27,25.0
2022-12-04,29.0
2022-12-25,40.0
