,MVT_GT_Boston MA-Manchester NH
2017-01-01,20.0
2017-01-08,19.0
2017-01-15,41.0
2017-01-22,74.0
2017-01-29,39.0
2017-02-05,26.0
2017-02-12,23.0
2017-03-05,18.0
2017-03-19,53.0
2017-04-02,16.0
2017-04-16,39.0
2017-04-23,65.0
2017-04-30,18.0
2017-05-07,33.0
2017-05-21,35.0
2017-05-28,23.0
2017-07-02,51.0
2017-07-09,32.0
2017-07-16,21.0
2017-07-23,66.0
2017-08-20,26.0
2017-08-27,28.0
2017-09-03,17.0
2017-09-10,44.0
2017-10-08,18.0
2017-11-05,29.0
2017-11-12,14.0
2017-11-26,37.0
2017-12-31,22.0
2018-01-14,15.0
2018-01-21,19.0
2018-02-11,33.0
2018-02-18,27.0
2018-03-04,20.0
2018-03-18,30.0
2018-03-25,23.0
2018-04-01,26.0
2018-04-15,31.0
2018-05-06,68.0
2018-05-13,28.0
2018-06-24,40.0
2018-07-08,19.0
2018-07-15,49.0
2018-07-22,20.0
2018-07-29,15.0
2018-08-05,30.0
2018-08-19,40.0
2018-08-26,23.0
2018-09-02,45.0
2018-09-16,36.0
2018-10-07,47.0
2018-10-14,16.0
2018-10-28,33.0
2018-11-18,24.0
2018-11-25,14.0
2018-12-09,39.0
2018-12-16,87.0
2018-12-30,17.0
2019-01-06,20.0
2019-01-13,51.0
2019-01-27,18.0
2019-02-03,25.0
2019-02-10,22.0
2019-02-24,31.0
2019-03-03,45.0
2019-03-31,21.0
2019-04-07,26.0
2019-04-14,44.0
2019-04-21,46.0
2019-05-12,36.0
2019-05-19,16.0
2019-07-07,24.0
2019-07-14,25.0
2019-07-21,21.0
2019-08-04,25.0
2019-09-01,22.0
2019-09-08,30.0
2019-09-22,15.0
2019-09-29,66.0
2019-10-06,43.0
2019-11-03,38.0
2019-11-24,17.0
2019-12-01,31.0
2019-12-08,44.0
2019-12-22,27.0
2020-01-12,23.0
2020-01-19,19.0
2020-01-26,14.0
2020-02-09,38.0
2020-02-16,44.0
2020-02-23,23.0
2020-03-15,32.0
2020-03-29,12.0
2020-04-12,22.0
2020-04-26,38.0
2020-05-10,45.0
2020-05-24,25.0
2020-06-07,15.0
2020-06-21,26.0
2020-06-28,16.0
2020-07-12,21.0
2020-07-26,30.0
2020-08-09,16.0
2020-08-16,36.0
2020-08-23,32.0
2020-08-30,30.0
2020-09-13,29.0
2020-09-20,19.0
2020-09-27,38.0
2020-10-18,29.0
2020-10-25,18.0
2020-11-08,28.0
2020-11-22,21.0
2020-11-29,38.0
2020-12-13,32.0
2020-12-27,46.0
2021-01-03,22.0
2021-01-17,21.0
2021-03-14,19.0
2021-03-21,80.0
2021-03-28,58.0
2021-04-04,36.0
2021-04-11,65.0
2021-04-18,75.0
2021-05-02,49.0
2021-05-09,19.0
2021-05-16,52.0
2021-05-23,59.0
2021-05-30,44.0
2021-06-27,34.0
2021-07-04,100.0
2021-07-11,49.0
2021-07-25,27.0
2021-08-01,50.0
2021-08-08,26.0
2021-08-15,25.0
2021-08-22,48.0
2021-09-26,20.0
2021-10-03,25.0
2021-10-17,16.0
2021-10-31,17.0
2021-11-07,29.0
2021-11-14,64.0
2021-11-28,64.0
2022-02-20,42.0
2022-02-27,25.0
2022-03-06,31.0
2022-03-27,23.0
2022-04-03,41.0
2022-04-10,23.0
2022-04-24,33.0
2022-05-08,22.0
2022-05-15,14.0
2022-06-05,13.0
2022-06-12,35.0
2022-06-19,43.0
2022-06-26,19.0
2022-07-03,17.0
2022-07-17,15.0
2022-07-24,55.0
2022-07-31,46.0
2022-08-14,31.0
2022-08-21,50.0
2022-08-28,27.0
2022-09-04,16.0
2022-09-11,58.0
2022-09-18,26.0
2022-10-02,33.0
2022-10-09,40.0
2022-10-16,20.0
2022-10-23,19.0
2022-10-30,35.0
2022-11-20,32.0
2022-11-27,24.0
2022-12-11,34.0
2022-12-18,22.0
