,MVT_GT_Atlanta GA
2017-01-01,37.0
2017-01-08,38.0
2017-01-22,42.0
2017-01-29,32.0
2017-02-05,28.0
2017-02-19,34.0
2017-03-05,33.0
2017-03-12,18.0
2017-03-26,11.0
2017-04-09,15.0
2017-04-16,17.0
2017-04-23,57.0
2017-04-30,38.0
2017-05-07,33.0
2017-05-14,46.0
2017-05-21,70.0
2017-05-28,19.0
2017-06-04,54.0
2017-06-11,37.0
2017-06-18,38.0
2017-06-25,32.0
2017-07-02,23.0
2017-07-09,12.0
2017-07-16,27.0
2017-07-23,31.0
2017-07-30,19.0
2017-08-06,25.0
2017-08-13,21.0
2017-08-20,48.0
2017-08-27,48.0
2017-09-03,64.0
2017-10-01,46.0
2017-10-08,15.0
2017-10-15,30.0
2017-10-22,31.0
2017-10-29,53.0
2017-11-05,57.0
2017-11-12,83.0
2017-11-19,55.0
2017-11-26,34.0
2017-12-24,51.0
2017-12-31,21.0
2018-01-07,39.0
2018-01-14,44.0
2018-01-21,33.0
2018-01-28,26.0
2018-02-04,30.0
2018-02-11,28.0
2018-02-18,29.0
2018-02-25,25.0
2018-03-11,51.0
2018-03-18,15.0
2018-04-01,33.0
2018-04-08,50.0
2018-04-15,55.0
2018-04-22,12.0
2018-04-29,48.0
2018-05-06,54.0
2018-05-13,27.0
2018-05-20,39.0
2018-05-27,15.0
2018-06-03,31.0
2018-06-10,63.0
2018-07-01,52.0
2018-07-15,46.0
2018-07-22,21.0
2018-07-29,35.0
2018-08-12,21.0
2018-08-19,21.0
2018-08-26,34.0
2018-09-02,14.0
2018-09-16,42.0
2018-09-23,28.0
2018-09-30,28.0
2018-10-07,20.0
2018-10-14,24.0
2018-10-21,44.0
2018-10-28,34.0
2018-11-04,16.0
2018-11-11,33.0
2018-11-18,12.0
2018-11-25,37.0
2018-12-02,36.0
2018-12-16,22.0
2018-12-30,43.0
2019-01-06,31.0
2019-01-13,31.0
2019-01-20,47.0
2019-01-27,18.0
2019-02-03,72.0
2019-02-10,33.0
2019-02-17,46.0
2019-02-24,58.0
2019-03-03,22.0
2019-03-10,13.0
2019-03-17,38.0
2019-04-07,15.0
2019-04-14,30.0
2019-04-21,27.0
2019-05-05,100.0
2019-05-12,17.0
2019-05-19,20.0
2019-05-26,72.0
2019-06-02,17.0
2019-06-09,23.0
2019-06-16,31.0
2019-06-30,31.0
2019-07-07,19.0
2019-07-14,25.0
2019-07-28,72.0
2019-08-04,13.0
2019-08-11,46.0
2019-08-18,11.0
2019-08-25,33.0
2019-09-08,27.0
2019-09-15,48.0
2019-09-22,17.0
2019-09-29,22.0
2019-10-06,39.0
2019-10-13,36.0
2019-10-27,19.0
2019-11-03,39.0
2019-11-10,23.0
2019-11-17,80.0
2019-11-24,23.0
2019-12-01,52.0
2019-12-08,44.0
2019-12-22,21.0
2019-12-29,29.0
2020-01-05,61.0
2020-01-12,23.0
2020-02-02,20.0
2020-02-09,33.0
2020-02-16,49.0
2020-02-23,30.0
2020-03-01,32.0
2020-03-08,29.0
2020-03-22,25.0
2020-03-29,18.0
2020-04-05,14.0
2020-04-12,19.0
2020-04-26,28.0
2020-05-03,32.0
2020-05-10,20.0
2020-05-17,24.0
2020-05-24,13.0
2020-05-31,31.0
2020-06-07,22.0
2020-06-14,45.0
2020-06-21,34.0
2020-06-28,33.0
2020-07-05,10.0
2020-07-12,17.0
2020-07-19,11.0
2020-07-26,17.0
2020-08-02,32.0
2020-08-09,25.0
2020-08-16,20.0
2020-08-23,44.0
2020-09-06,20.0
2020-09-13,12.0
2020-09-20,26.0
2020-10-04,16.0
2020-10-11,31.0
2020-10-18,17.0
2020-10-25,31.0
2020-11-01,15.0
2020-11-08,18.0
2020-11-15,23.0
2020-11-29,34.0
2020-12-06,36.0
2020-12-13,45.0
2020-12-20,24.0
2020-12-27,44.0
2021-01-03,25.0
2021-01-10,47.0
2021-01-17,31.0
2021-01-24,43.0
2021-01-31,39.0
2021-02-07,43.0
2021-02-14,10.0
2021-02-21,14.0
2021-02-28,48.0
2021-03-14,38.0
2021-03-21,50.0
2021-03-28,15.0
2021-04-04,27.0
2021-04-11,42.0
2021-04-18,29.0
2021-04-25,12.0
2021-05-02,60.0
2021-05-09,52.0
2021-05-16,35.0
2021-05-23,100.0
2021-05-30,29.0
2021-06-06,15.0
2021-06-13,43.0
2021-06-20,17.0
2021-06-27,33.0
2021-07-04,28.0
2021-07-11,49.0
2021-07-18,50.0
2021-07-25,58.0
2021-08-08,23.0
2021-08-15,29.0
2021-08-22,14.0
2021-08-29,40.0
2021-09-05,28.0
2021-09-12,93.0
2021-09-19,31.0
2021-09-26,25.0
2021-10-03,12.0
2021-10-10,11.0
2021-10-17,30.0
2021-10-24,15.0
2021-10-31,24.0
2021-11-07,48.0
2021-11-14,27.0
2021-11-28,14.0
2021-12-05,15.0
2021-12-12,55.0
2021-12-19,34.0
2021-12-26,11.0
2022-01-02,41.0
2022-01-16,44.0
2022-01-23,50.0
2022-01-30,66.0
2022-02-06,58.0
2022-02-13,26.0
2022-02-20,35.0
2022-02-27,18.0
2022-03-06,21.0
2022-03-13,42.0
2022-03-20,19.0
2022-03-27,21.0
2022-04-03,27.0
2022-04-10,43.0
2022-04-17,9.0
2022-04-24,36.0
2022-05-01,32.0
2022-05-08,26.0
2022-05-15,20.0
2022-05-22,38.0
2022-05-29,28.0
2022-06-12,28.0
2022-06-19,21.0
2022-06-26,21.0
