,MVT_GT_Washington DC (Hagerstown MD)
2017-01-01,44.0
2017-01-08,19.0
2017-01-15,18.0
2017-01-22,38.0
2017-01-29,27.0
2017-02-12,11.0
2017-02-19,40.0
2017-03-19,11.0
2017-03-26,46.0
2017-04-09,17.0
2017-04-16,18.0
2017-04-23,22.0
2017-04-30,65.0
2017-05-07,12.0
2017-05-14,23.0
2017-05-21,21.0
2017-05-28,18.0
2017-06-11,49.0
2017-06-18,50.0
2017-06-25,38.0
2017-07-09,37.0
2017-07-23,46.0
2017-08-06,21.0
2017-08-13,16.0
2017-08-20,29.0
2017-08-27,18.0
2017-09-03,26.0
2017-09-10,72.0
2017-09-17,13.0
2017-09-24,31.0
2017-10-01,17.0
2017-10-15,13.0
2017-10-22,12.0
2017-10-29,15.0
2017-11-12,40.0
2017-11-19,13.0
2017-11-26,23.0
2017-12-24,27.0
2017-12-31,53.0
2018-01-14,26.0
2018-01-21,46.0
2018-02-04,19.0
2018-02-11,22.0
2018-02-18,19.0
2018-02-25,13.0
2018-03-11,27.0
2018-03-18,19.0
2018-04-01,14.0
2018-04-08,25.0
2018-04-15,12.0
2018-04-29,17.0
2018-05-13,100.0
2018-05-20,19.0
2018-06-17,14.0
2018-07-01,21.0
2018-07-08,45.0
2018-07-15,23.0
2018-07-22,19.0
2018-07-29,13.0
2018-08-05,48.0
2018-08-12,35.0
2018-08-26,36.0
2018-09-16,20.0
2018-09-23,24.0
2018-10-07,31.0
2018-10-14,13.0
2018-10-21,15.0
2018-10-28,38.0
2018-11-11,25.0
2018-11-18,73.0
2018-11-25,17.0
2018-12-02,29.0
2018-12-09,28.0
2018-12-16,12.0
2018-12-23,35.0
2019-01-06,48.0
2019-01-20,37.0
2019-01-27,24.0
2019-02-10,38.0
2019-03-10,23.0
2019-03-24,17.0
2019-03-31,64.0
2019-04-07,33.0
2019-04-28,20.0
2019-05-05,33.0
2019-05-26,13.0
2019-06-02,15.0
2019-06-09,20.0
2019-06-30,27.0
2019-07-07,17.0
2019-07-14,16.0
2019-07-21,46.0
2019-07-28,22.0
2019-08-04,73.0
2019-08-18,20.0
2019-09-01,32.0
2019-09-08,14.0
2019-09-15,15.0
2019-10-06,29.0
2019-10-20,16.0
2019-11-03,41.0
2019-11-10,29.0
2019-11-17,32.0
2019-11-24,31.0
2019-12-01,51.0
2019-12-08,37.0
2019-12-15,21.0
2020-01-05,47.0
2020-01-12,16.0
2020-01-19,29.0
2020-01-26,22.0
2020-02-02,15.0
2020-02-09,13.0
2020-02-16,14.0
2020-03-15,23.0
2020-03-22,23.0
2020-03-29,34.0
2020-04-05,15.0
2020-04-26,20.0
2020-05-03,26.0
2020-05-10,17.0
2020-05-17,14.0
2020-05-24,23.0
2020-05-31,30.0
2020-06-14,25.0
2020-06-21,19.0
2020-06-28,15.0
2020-07-12,33.0
2020-07-19,31.0
2020-07-26,40.0
2020-08-02,36.0
2020-08-09,34.0
2020-08-16,31.0
2020-08-23,19.0
2020-08-30,32.0
2020-09-06,32.0
2020-09-13,28.0
2020-09-20,21.0
2020-09-27,38.0
2020-10-04,21.0
2020-10-18,36.0
2020-11-01,15.0
2020-11-08,21.0
2020-11-15,17.0
2020-11-29,27.0
2020-12-06,32.0
2020-12-13,24.0
2020-12-20,48.0
2020-12-27,32.0
2021-01-03,59.0
2021-01-10,35.0
2021-01-17,25.0
2021-01-24,21.0
2021-01-31,30.0
2021-02-07,30.0
2021-02-14,34.0
2021-02-21,33.0
2021-02-28,64.0
2021-03-07,29.0
2021-03-14,19.0
2021-03-28,35.0
2021-04-04,30.0
2021-05-02,47.0
2021-05-09,43.0
2021-05-23,22.0
2021-06-06,28.0
2021-06-13,44.0
2021-06-20,20.0
2021-06-27,14.0
2021-07-04,41.0
2021-07-18,36.0
2021-07-25,26.0
2021-08-08,29.0
2021-08-15,26.0
2021-08-22,24.0
2021-08-29,16.0
2021-09-05,41.0
2021-09-12,23.0
2021-09-19,18.0
2021-09-26,20.0
2021-10-03,20.0
2021-10-17,29.0
2021-10-24,33.0
2021-10-31,26.0
2021-11-07,15.0
2021-11-14,19.0
2021-11-28,24.0
2021-12-12,21.0
2021-12-19,44.0
2021-12-26,15.0
2022-01-09,49.0
2022-01-16,42.0
2022-01-23,20.0
2022-01-30,69.0
2022-02-06,52.0
2022-02-13,35.0
2022-02-20,20.0
2022-02-27,34.0
2022-03-06,45.0
2022-03-20,36.0
2022-03-27,10.0
2022-04-03,31.0
2022-04-10,41.0
2022-04-17,19.0
2022-05-01,23.0
2022-05-15,28.0
2022-05-22,49.0
2022-05-29,49.0
2022-06-05,37.0
2022-06-12,17.0
2022-06-19,30.0
2022-06-26,36.0
2022-07-03,60.0
2022-07-10,29.0
2022-07-17,21.0
2022-07-31,62.0
2022-08-07,44.0
2022-08-14,44.0
2022-08-21,24.0
2022-08-28,53.0
2022-09-04,37.0
2022-09-11,15.0
2022-09-18,56.0
2022-10-02,42.0
2022-10-09,32.0
2022-10-16,39.0
2022-10-23,11.0
2022-10-30,32.0
2022-11-06,37.0
2022-11-13,32.0
2022-11-20,52.0
2022-11-27,42.0
2022-12-04,67.0
2022-12-11,52.0
2022-12-18,62.0
2022-12-25,53.0
