,MVT_GT_Colorado Springs-Pueblo CO
2017-02-19,29.0
2017-04-30,25.0
2017-06-11,100.0
2017-07-16,42.0
2017-08-13,54.0
2017-08-20,15.0
2017-08-27,67.0
2017-09-03,51.0
2017-09-10,74.0
2017-10-08,40.0
2017-10-15,32.0
2017-10-22,40.0
2017-11-12,78.0
2017-11-19,21.0
2017-12-10,20.0
2017-12-17,17.0
2017-12-31,18.0
2018-01-14,25.0
2018-02-11,16.0
2018-02-18,36.842595988007574
2018-03-04,22.0
2018-04-01,39.23703839520303
2018-04-08,49.0
2018-04-15,41.26177593069339
2018-04-29,21.979498567145562
2018-05-20,21.0
2018-06-03,21.23703839520303
2018-08-05,38.0
2018-09-23,32.393256733091874
2018-09-30,39.7671977074329
2018-10-28,17.0
2018-12-09,26.0
2018-12-16,32.97407679040606
2019-02-24,34.0
2019-03-03,34.069976503835164
2019-04-07,36.0
2019-05-05,30.0
2019-06-23,36.17129799400379
2019-07-21,27.221958739088095
2019-08-04,34.41375816594632
2019-08-25,55.0
2019-09-15,16.641138681773917
2019-09-22,33.0
2019-09-29,20.0
2019-10-27,43.38783495635237
2019-11-17,33.0
2020-01-05,24.60555759280454
2020-02-02,13.0
2020-03-08,13.0
2020-03-15,23.91375816594632
2020-04-05,12.0
2020-04-26,30.0
2020-05-03,23.787699140287337
2020-06-28,12.0
2020-07-05,66.0
2020-07-12,15.0
2020-09-06,25.0
2020-10-04,14.0
2020-10-18,15.964418911030627
2020-10-25,26.302778796402272
2020-11-01,20.0
2020-11-15,19.0
2020-12-13,22.302778796402272
2021-02-07,52.0
2021-04-11,15.0
2021-04-25,25.0
2021-05-02,27.0
2021-05-09,20.832938108632142
2021-05-23,22.479498567145562
2021-05-30,46.0
2021-07-04,48.630295128294904
2021-07-11,36.0
2021-07-25,44.23161661846352
2021-08-22,24.0
2021-08-29,24.23703839520303
2021-09-12,33.893256733091874
2021-09-19,64.0
2021-09-26,28.0
2021-10-17,23.0
2021-11-07,28.752118051317964
2021-12-12,21.398678509831385
2018-03-11,16.767197707432896
2018-05-13,36.049475070980726
2018-06-10,28.504236102635925
2018-07-01,20.95899713429112
2018-07-08,40.24127449783895
2018-08-12,32.69603552949415
2018-08-26,18.443917478176186
2018-09-09,72.09895014196145
2018-11-11,17.60555759280454
2018-11-25,34.372755300237436
2019-01-13,49.463233236927046
2019-02-10,83.83598853716448
2019-03-10,26.827516331892635
2019-03-24,41.079634383210596
2019-04-14,25.98915644652099
2019-06-02,34.372755300237436
2019-06-30,24.3124366757777
2019-07-07,27.66587621726428
2019-10-06,36.88783495635237
2019-10-20,33.53439541486579
2019-11-10,30.180955873379215
2019-12-22,21.797357019662766
2020-01-26,17.60555759280454
2020-02-23,20.120637248919476
2020-03-29,43.59471403932553
2020-04-19,14.252118051317963
2020-05-10,29.34259598800757
2020-07-26,17.60555759280454
2020-08-02,36.049475070980726
2020-08-16,48.6248733515554
2020-08-30,40.24127449783895
2020-09-20,41.079634383210596
2020-09-27,37.726194841724016
2020-11-29,33.53439541486579
2020-12-20,18.443917478176186
2021-01-17,20.120637248919476
2021-02-14,51.97831289304198
2021-03-07,17.60555759280454
2021-03-21,16.767197707432896
2021-04-04,22.63571690503441
2021-05-16,28.504236102635925
2021-06-13,22.63571690503441
2021-06-27,20.120637248919476
2021-10-24,18.443917478176186
2021-11-28,18.443917478176186
2022-01-16,38.56455472709566
2022-01-30,21.797357019662766
2022-02-06,24.3124366757777
2022-02-20,46.94815358081211
2022-03-20,43.59471403932553
2022-03-27,11.737038395203028
2022-04-24,12.575398280574673
2022-05-01,28.504236102635925
2022-05-08,15.090477936689608
2022-06-05,20.95899713429112
2022-07-10,35.21111518560908
2022-07-17,37.726194841724016
2022-09-04,14.252118051317963
2022-09-25,13.413758165946318
2022-10-30,18.443917478176186
2022-11-27,14.252118051317963
2022-12-04,36.049475070980726
2022-12-25,23.474076790406055
