,MVT_GT_Las Vegas NV
2017-01-08,33.0
2017-01-22,36.0
2017-01-29,15.0
2017-02-12,30.0
2017-02-26,67.0
2017-03-05,21.0
2017-03-12,17.0
2017-03-26,28.0
2017-04-02,29.0
2017-04-09,31.0
2017-05-07,49.0
2017-05-14,24.0
2017-05-21,34.0
2017-06-04,35.0
2017-06-18,13.0
2017-06-25,37.0
2017-07-09,42.0
2017-07-30,36.0
2017-08-20,21.0
2017-08-27,17.0
2017-09-10,39.0
2017-09-17,18.0
2017-11-12,50.0
2017-11-19,21.0
2017-12-10,23.0
2017-12-17,19.0
2018-01-21,21.0
2018-02-11,16.0
2018-02-18,38.0
2018-03-04,31.0
2018-04-08,19.0
2018-05-13,17.0
2018-05-27,29.0
2018-06-17,32.0
2018-06-24,19.0
2018-07-29,19.0
2018-08-05,38.0
2018-08-26,26.0
2018-09-09,100.0
2018-09-30,31.0
2018-11-11,33.0
2018-11-25,38.0
2018-12-09,29.0
2018-12-16,21.0
2019-01-06,54.0
2019-03-24,17.0
2019-04-07,22.0
2019-04-21,15.0
2019-04-28,21.0
2019-05-12,17.0
2019-06-23,34.0
2019-06-30,44.0
2019-07-14,33.0
2019-07-28,16.0
2019-08-04,46.0
2019-08-18,17.0
2019-08-25,57.0
2019-09-15,26.0
2019-09-22,21.0
2019-10-20,21.0
2019-10-27,24.0
2019-11-03,23.0
2019-11-10,48.0
2019-11-17,24.0
2019-12-08,47.0
2019-12-15,27.0
2019-12-22,32.0
2019-12-29,60.0
2020-01-19,43.0
2020-03-01,14.0
2020-03-08,20.0
2020-04-19,15.0
2020-04-26,12.0
2020-05-03,15.0
2020-05-10,13.0
2020-05-24,15.0
2020-05-31,46.0
2020-06-14,18.0
2020-06-21,28.0
2020-06-28,25.0
2020-07-19,54.0
2020-07-26,44.0
2020-08-02,21.0
2020-08-09,37.0
2020-08-16,32.0
2020-08-30,17.0
2020-09-13,31.0
2020-09-27,28.0
2020-10-11,18.0
2020-10-18,14.0
2020-11-01,32.0
2020-11-22,32.0
2020-12-20,19.0
2020-12-27,48.0
2021-01-03,26.0
2021-01-10,13.0
2021-01-24,29.0
2021-02-14,16.0
2021-03-07,18.0
2021-03-21,43.0
2021-03-28,51.0
2021-04-25,15.0
2021-05-02,20.0
2021-05-23,22.0
2021-05-30,54.0
2021-06-06,15.0
2021-06-13,18.0
2021-07-04,52.0
2021-07-25,35.0
2021-08-22,48.0
2021-09-19,28.0
2021-10-03,29.0
2021-10-17,43.0
2021-10-24,16.0
2021-10-31,24.0
2021-11-07,17.0
2021-11-14,15.0
2021-11-21,22.0
2021-11-28,35.0
2021-12-05,22.0
2021-12-19,17.0
2021-12-26,17.0
2022-01-02,22.0
2022-01-16,25.0
2022-01-23,18.0
2022-01-30,15.0
2022-02-13,30.0
2022-02-20,24.0
2022-02-27,34.0
2022-03-13,79.0
2022-03-20,33.0
2022-03-27,44.0
2022-04-03,17.0
2022-04-10,50.0
2022-04-17,16.0
2022-04-24,18.0
2022-05-01,44.0
2022-05-08,14.0
2022-05-15,15.0
2022-05-29,28.0
2022-06-12,26.0
2022-06-19,13.0
2022-07-10,19.0
2022-07-17,22.0
2022-07-31,25.0
2022-08-14,26.0
2022-08-21,22.0
2022-09-04,14.0
2022-09-25,71.0
2022-10-09,33.0
2022-10-16,18.0
2022-10-30,22.0
2022-11-06,20.0
2022-11-20,24.0
2022-11-27,30.0
2022-12-11,14.0
2022-12-18,19.0
