,MVT_GT_Houston TX
2017-01-01,24.0
2017-01-08,36.0
2017-01-22,45.0
2017-02-19,18.0
2017-02-26,43.0
2017-03-05,18.0
2017-03-19,36.0
2017-03-26,44.0
2017-04-02,46.0
2017-04-09,39.0
2017-04-23,43.0
2017-04-30,45.0
2017-05-07,41.0
2017-05-14,47.0
2017-05-21,34.0
2017-05-28,34.0
2017-06-04,17.0
2017-06-11,29.0
2017-06-18,38.0
2017-06-25,17.0
2017-07-02,64.0
2017-07-09,46.0
2017-07-16,30.0
2017-08-06,31.0
2017-08-27,26.0
2017-09-03,45.0
2017-09-10,70.0
2017-09-17,43.0
2017-09-24,35.0
2017-10-01,52.0
2017-10-15,64.0
2017-10-29,36.0
2017-11-12,36.0
2017-11-19,37.0
2017-11-26,32.0
2017-12-03,22.0
2017-12-10,56.0
2017-12-17,47.0
2017-12-24,25.0
2017-12-31,50.0
2018-01-14,24.0
2018-01-21,25.0
2018-02-04,75.0
2018-02-11,36.0
2018-02-18,16.0
2018-03-04,28.0
2018-03-18,53.0
2018-03-25,38.0
2018-04-01,32.0
2018-04-08,55.0
2018-04-15,69.0
2018-04-22,54.0
2018-04-29,34.0
2018-05-13,49.0
2018-05-27,21.0
2018-06-03,37.0
2018-06-10,68.0
2018-06-17,97.0
2018-06-24,41.0
2018-07-08,29.0
2018-07-15,25.0
2018-07-22,21.0
2018-07-29,30.0
2018-08-19,40.0
2018-09-02,54.0
2018-09-09,62.0
2018-09-16,33.0
2018-09-30,85.0
2018-10-07,19.0
2018-10-14,42.0
2018-10-21,99.0
2018-10-28,70.0
2018-11-04,25.0
2018-11-11,44.0
2018-11-25,18.0
2018-12-02,51.0
2018-12-09,47.0
2018-12-16,17.0
2018-12-30,17.0
2019-01-06,40.0
2019-01-13,45.0
2019-01-20,31.0
2019-02-03,42.0
2019-02-10,30.0
2019-02-17,32.0
2019-02-24,42.0
2019-03-10,33.0
2019-03-17,45.0
2019-03-24,34.0
2019-03-31,29.0
2019-04-21,19.0
2019-04-28,39.0
2019-05-05,15.0
2019-05-19,34.0
2019-06-09,29.0
2019-06-23,40.0
2019-07-07,92.0
2019-07-14,17.0
2019-07-21,55.0
2019-07-28,20.0
2019-08-11,42.0
2019-08-18,67.0
2019-09-01,37.0
2019-09-08,46.0
2019-09-29,32.0
2019-10-13,26.0
2019-10-20,24.0
2019-10-27,38.0
2019-11-03,30.0
2019-11-10,44.0
2019-11-17,28.0
2019-11-24,67.0
2019-12-01,42.0
2019-12-08,47.0
2019-12-15,42.0
2019-12-22,49.0
2019-12-29,34.0
2020-01-05,31.0
2020-01-12,48.0
