,MVT_GT_Minneapolis-St. Paul MN
2017-01-01,16.0
2017-01-08,21.0
2017-01-22,24.0
2017-01-29,19.0
2017-02-05,31.0
2017-02-12,14.0
2017-02-19,19.0
2017-02-26,36.0
2017-03-26,16.0
2017-04-02,22.0
2017-04-09,32.0
2017-05-14,55.0
2017-05-21,26.0
2017-06-18,31.0
2017-07-16,20.0
2017-07-23,15.0
2017-07-30,15.0
2017-08-20,28.0
2017-09-03,25.0
2017-09-10,16.0
2017-10-15,39.0
2017-10-22,36.0
2017-10-29,18.0
2017-11-05,19.0
2017-11-12,29.0
2017-11-19,21.0
2017-11-26,17.0
2017-12-10,72.0
2017-12-24,29.0
2017-12-31,14.0
2018-01-28,20.0
2018-02-11,31.0
2018-02-18,30.0
2018-02-25,30.0
2018-03-04,21.0
2018-03-11,27.0
2018-03-18,17.0
2018-04-01,23.0
2018-04-22,16.0
2018-05-06,17.0
2018-05-27,33.0
2018-06-03,33.0
2018-06-10,20.0
2018-06-24,34.0
2018-07-01,26.0
2018-07-15,22.0
2018-07-22,39.0
2018-07-29,40.0
2018-08-19,28.0
2018-09-09,46.0
2018-10-07,22.0
2018-10-21,100.0
2018-10-28,21.0
2018-12-16,15.0
2018-12-23,56.0
2019-01-06,21.0
2019-01-20,17.0
2019-01-27,30.0
2019-02-10,15.0
2019-02-17,18.0
2019-03-03,27.0
2019-03-10,18.0
2019-03-17,15.0
2019-03-31,49.0
2019-04-07,16.0
2019-04-14,44.0
2019-04-21,49.0
2019-05-05,38.0
2019-05-26,15.0
2019-06-09,19.0
2019-06-16,26.0
2019-06-30,16.0
2019-07-07,29.0
2019-07-14,15.0
2019-07-28,47.0
2019-08-25,34.0
2019-09-01,25.0
2019-09-08,20.0
2019-10-06,57.0
2019-10-13,13.0
2019-10-27,40.0
2019-11-10,62.0
2019-11-17,39.0
2019-12-29,33.0
2020-01-19,32.0
2020-01-26,25.0
2020-02-02,12.0
2020-02-16,19.0
2020-03-01,11.0
2020-03-22,12.0
2020-03-29,12.0
2020-04-05,26.0
2020-04-12,22.0
2020-04-19,21.0
2020-04-26,44.0
2020-05-10,15.0
2020-05-24,41.0
2020-05-31,16.0
2020-06-07,31.0
2020-06-14,19.0
2020-06-21,14.0
2020-06-28,18.0
2020-07-05,22.0
2020-07-12,29.0
2020-07-26,23.0
2020-08-02,27.0
2020-08-23,22.0
2020-08-30,31.0
2020-09-06,24.0
2020-09-20,25.0
2020-09-27,21.0
2020-10-25,30.0
2020-11-01,19.0
2020-11-08,30.0
2020-11-22,13.0
2020-11-29,23.0
2020-12-13,17.0
2020-12-20,20.0
2020-12-27,19.0
2021-01-17,16.0
2021-01-24,23.0
2021-01-31,30.0
2021-02-07,40.0
2021-02-14,33.0
2021-02-28,34.0
2021-03-14,49.0
2021-03-21,27.0
2021-03-28,23.0
2021-04-04,21.0
2021-04-11,46.0
2021-04-18,17.0
2021-04-25,39.0
2021-05-02,25.0
2021-05-16,24.0
2021-05-23,36.0
2021-05-30,29.0
2021-06-06,36.0
2021-06-13,22.0
2021-06-20,17.0
2021-06-27,25.0
2021-07-11,14.0
2021-07-18,25.0
2021-07-25,73.0
2021-08-01,25.0
2021-08-08,35.0
2021-08-15,25.0
2021-08-22,42.0
2021-08-29,21.0
2021-09-05,89.0
2021-09-19,29.0
2021-09-26,30.0
2021-10-03,51.0
2021-10-24,27.0
2021-11-07,19.0
2021-11-14,59.0
2021-12-05,64.0
2021-12-12,29.0
2022-01-02,43.0
2022-01-09,62.0
2022-01-16,30.0
2022-01-30,32.0
2022-02-06,17.0
2022-02-13,32.0
2022-02-20,37.0
2022-02-27,69.0
2022-03-06,42.0
2022-03-13,14.0
2022-03-20,23.0
2022-04-10,14.0
2022-04-17,10.0
2022-04-24,12.0
2022-05-01,11.0
2022-05-08,10.0
2022-05-15,48.0
2022-05-29,26.0
2022-06-05,15.0
2022-06-12,36.0
2022-06-19,29.0
2022-07-10,78.0
2022-07-17,58.0
2022-07-24,34.0
2022-07-31,31.0
2022-08-07,49.0
2022-08-21,17.0
2022-09-11,13.0
2022-09-18,15.0
2022-09-25,16.0
2022-10-02,17.0
2022-10-09,21.0
2022-10-16,31.0
2022-10-23,52.0
2022-10-30,61.0
2022-11-06,13.0
2022-11-13,16.0
2022-11-20,25.0
2022-11-27,32.0
2022-12-04,60.0
2022-12-11,38.0
2022-12-18,13.0
2022-12-25,31.0
