,MVT_GT_Minneapolis-St. Paul MN
2017-01-01,47.0
2017-01-08,52.0
2017-01-29,14.0
2017-02-05,13.0
2017-02-26,16.0
2017-03-19,56.0
2017-04-02,14.0
2017-04-09,26.0
2017-04-30,38.0
2017-05-07,12.0
2017-05-14,16.0
2017-05-21,19.0
2017-05-28,30.0
2017-06-11,14.0
2017-06-18,15.0
2017-06-25,16.0
2017-07-09,26.0
2017-07-23,13.0
2017-07-30,32.0
2017-08-20,35.0
2017-08-27,14.0
2017-10-15,13.0
2017-10-22,26.0
2017-10-29,14.0
2017-11-05,17.0
2017-11-12,20.0
2017-11-19,15.0
2017-11-26,19.0
2017-12-03,36.0
2017-12-17,38.0
2017-12-24,13.0
2017-12-31,19.0
2018-01-07,15.0
2018-01-14,17.0
2018-01-21,21.0
2018-02-04,14.0
2018-02-11,17.0
2018-02-18,25.0
2018-02-25,27.0
2018-03-25,21.0
2018-04-01,16.0
2018-04-15,13.0
2018-04-22,15.0
2018-05-13,31.0
2018-05-20,17.0
2018-05-27,21.0
2018-06-03,29.0
2018-07-22,22.0
2018-07-29,24.0
2018-08-12,53.0
2018-08-19,16.0
2018-09-02,47.0
2018-09-09,52.0
2018-09-16,51.0
2018-09-23,35.0
2018-10-07,21.0
2018-10-14,28.0
2018-10-21,30.0
2018-11-04,15.0
2018-11-11,17.0
2018-11-18,14.0
2019-01-06,25.0
2019-01-13,33.0
2019-02-03,14.0
2019-02-10,23.0
2019-02-17,15.0
2019-03-03,36.0
2019-03-31,24.0
2019-04-07,11.0
2019-04-21,27.0
2019-04-28,22.0
2019-05-05,25.0
2019-05-12,18.0
2019-05-26,36.0
2019-06-09,13.0
2019-06-16,31.0
2019-06-23,15.0
2019-07-07,27.0
2019-07-14,18.0
2019-08-18,27.0
2019-08-25,32.0
2019-09-01,12.0
2019-09-08,19.0
2019-09-15,31.0
2019-09-29,40.0
2019-10-06,18.0
2019-10-20,10.0
2019-10-27,18.0
2019-11-03,20.0
2019-11-10,12.0
2019-11-17,15.0
2019-11-24,12.0
2019-12-15,14.0
2020-01-05,14.0
2020-01-12,35.0
2020-01-26,24.0
2020-02-02,39.0
2020-02-16,24.0
2020-02-23,33.0
2020-03-01,35.0
2020-03-08,18.0
2020-03-15,10.0
2020-04-12,22.0
2020-05-03,20.0
2020-05-10,10.0
2020-05-17,15.0
2020-05-24,28.0
2020-05-31,37.0
2020-06-07,26.0
2020-06-14,13.0
2020-06-21,22.0
2020-07-05,13.0
2020-07-26,23.0
2020-08-02,19.0
2020-08-09,28.0
2020-08-30,15.0
2020-09-06,17.0
2020-09-13,20.0
2020-09-20,22.0
2020-09-27,37.0
2020-10-04,30.0
2020-10-11,12.0
2020-10-18,29.0
2020-10-25,20.0
2020-11-08,20.0
2020-11-15,20.0
2020-11-29,26.0
2020-12-06,30.0
2020-12-13,15.0
2020-12-20,20.0
2020-12-27,16.0
2021-01-17,45.0
2021-01-24,17.0
2021-01-31,28.0
2021-02-14,33.0
2021-02-28,36.0
2021-03-14,30.0
2021-03-21,24.0
2021-04-11,16.0
2021-04-25,33.0
2021-05-02,16.0
2021-05-30,16.0
2021-06-06,30.0
2021-06-13,29.0
2021-06-20,12.0
2021-06-27,28.0
2021-07-11,24.0
2021-07-18,14.0
2021-07-25,43.0
2021-08-01,29.0
2021-08-08,15.0
2021-08-29,59.0
2021-09-05,58.0
2021-10-03,29.0
2021-10-10,24.0
2021-10-17,30.0
2021-10-31,14.0
2021-11-07,34.0
2021-11-14,100.0
2021-11-21,49.0
2021-12-05,33.0
2021-12-12,23.0
2021-12-26,37.0
2022-01-02,62.0
2022-01-09,15.0
2022-01-16,33.0
2022-01-23,31.0
2022-01-30,33.0
2022-02-06,15.0
2022-02-13,13.0
2022-02-20,27.0
2022-03-06,22.0
2022-03-13,38.0
2022-03-20,51.0
2022-03-27,12.0
2022-04-03,14.0
2022-04-10,19.0
2022-04-17,14.0
2022-04-24,19.0
2022-05-01,20.0
2022-05-08,21.0
2022-05-15,53.0
2022-06-05,12.0
2022-06-12,46.0
2022-06-19,36.0
2022-06-26,31.0
2022-07-10,34.0
2022-07-17,45.0
2022-07-31,14.0
2022-08-07,62.0
2022-08-14,31.0
2022-08-21,26.0
2022-08-28,14.0
2022-09-04,18.0
2022-09-11,22.0
2022-09-18,16.0
2022-09-25,11.0
2022-10-09,28.0
2022-10-16,32.0
2022-10-23,33.0
2022-10-30,10.0
2022-11-13,24.0
2022-12-04,36.0
2022-12-11,40.0
2022-12-18,13.0
2022-12-25,37.0
