,MVT_GT_Charlotte NC
2017-01-01,51.0
2017-01-29,25.0
2017-02-05,35.0
2017-02-19,57.0
2017-03-12,40.0
2017-03-19,22.0
2017-03-26,25.0
2017-04-02,44.0
2017-04-09,57.0
2017-04-30,62.0
2017-05-07,28.0
2017-05-14,22.0
2017-06-04,32.0
2017-06-11,32.0
2017-07-02,56.0
2017-07-16,37.0
2017-08-06,58.0
2017-08-20,55.0
2017-08-27,65.0
2017-09-17,23.0
2017-10-01,55.0
2017-10-08,27.0
2017-10-15,19.0
2017-10-22,34.0
2017-10-29,24.0
2017-11-26,34.0
2017-12-03,32.0
2017-12-31,39.0
2018-02-18,55.0
2018-03-11,100.0
2018-04-15,41.0
2018-04-29,23.0
2018-07-08,61.0
2018-07-22,36.0
2018-08-19,26.0
2018-08-26,37.0
2018-09-02,37.0
2018-09-09,21.0
2018-09-23,28.0
2018-10-07,68.0
2018-10-14,22.0
2018-10-28,49.0
2018-11-11,27.0
2018-12-16,77.0
2018-12-23,25.0
2019-01-13,23.0
2019-02-03,97.0
2019-03-03,80.0
2019-03-31,28.0
2019-05-05,22.0
2019-05-12,27.0
2019-05-19,22.0
2019-06-09,75.0
2019-06-30,35.0
2019-07-07,22.0
2019-07-14,33.0
2019-07-21,24.0
2019-08-18,39.0
2019-09-01,20.0
2019-09-15,34.0
2019-09-29,28.0
2019-10-20,36.0
2019-10-27,33.0
2019-11-03,19.0
2019-11-10,79.0
2019-11-17,19.0
2019-12-15,59.0
2019-12-22,48.0
2019-12-29,52.0
2020-01-05,21.0
2020-02-16,26.0
2020-03-08,51.0
2020-03-15,31.0
2020-04-19,30.0
2020-05-03,31.0
2020-05-10,31.0
2020-05-24,17.0
2020-05-31,38.0
2020-07-05,22.0
2020-07-19,27.0
2020-08-02,26.0
2020-08-09,23.0
2020-08-16,28.0
2020-08-30,62.0
2020-09-06,24.0
2020-09-20,33.0
2020-12-06,22.0
2020-12-13,56.0
2020-12-20,27.0
2021-01-03,45.0
2021-02-14,33.0
2021-02-21,31.0
2021-02-28,23.0
2021-03-21,22.0
2021-04-11,21.0
2021-04-18,21.0
2021-04-25,56.0
2021-05-30,42.0
2021-06-06,32.0
2021-07-11,55.0
2021-09-12,69.0
2021-09-19,26.0
2021-09-26,22.0
2021-10-03,26.0
2021-10-10,68.0
2021-10-24,42.0
2021-10-31,53.0
2021-11-07,67.0
2021-11-21,27.0
2021-12-05,48.0
2021-12-12,78.0
2021-12-26,30.0
2022-01-09,42.0
2022-01-16,25.0
2022-02-06,69.0
2022-03-13,26.0
2022-03-27,22.0
2022-04-10,44.0
2022-04-24,27.0
2022-05-01,43.0
2022-05-22,19.0
2022-06-19,30.0
2022-06-26,23.0
2022-07-10,50.0
2022-07-31,27.0
2022-09-18,23.0
2022-09-25,28.0
2022-10-02,22.0
2022-10-23,93.0
2022-10-30,81.0
2022-11-06,31.0
2022-11-20,35.0
2022-11-27,28.0
2022-12-11,26.0
2022-12-18,48.0
2022-12-25,37.0
