,MVT_GT_Minneapolis-St. Paul MN
2017-01-01,36.0
2017-01-08,18.0
2017-01-29,19.0
2017-02-05,21.0
2017-02-12,25.0
2017-03-19,24.0
2017-03-26,26.0
2017-04-09,45.0
2017-05-21,20.0
2017-05-28,70.0
2017-06-18,29.0
2017-07-16,28.0
2017-08-06,28.0
2017-08-27,16.0
2017-09-17,29.0
2017-10-22,46.0
2017-10-29,23.0
2017-11-05,14.0
2017-11-12,32.0
2017-12-31,40.0
2018-01-14,18.0
2018-01-21,28.0
2018-01-28,33.0
2018-02-04,21.0
2018-02-11,32.0
2018-02-18,33.0
2018-02-25,24.0
2018-03-18,14.0
2018-03-25,26.0
2018-04-01,29.0
2018-05-06,43.0
2018-05-13,16.0
2018-05-27,41.0
2018-06-03,23.0
2018-06-17,26.0
2018-07-15,39.0
2018-07-29,52.0
2018-08-05,31.0
2018-08-12,51.0
2018-08-19,32.0
2018-08-26,20.0
2018-09-23,51.0
2018-09-30,39.0
2018-10-07,20.0
2018-10-14,45.0
2018-10-21,27.0
2018-11-11,21.0
2018-11-18,32.0
2018-12-09,65.0
2018-12-23,28.0
2019-01-06,16.0
2019-01-13,22.0
2019-01-27,48.0
2019-02-10,29.0
2019-02-17,19.0
2019-03-03,22.0
2019-03-31,18.0
2019-04-07,27.0
2019-04-14,18.0
2019-04-21,70.0
2019-04-28,33.0
2019-05-05,40.0
2019-05-12,76.0
2019-06-09,27.0
2019-06-16,50.0
2019-07-07,16.0
2019-07-14,21.0
2019-07-21,19.0
2019-08-18,45.0
2019-09-08,38.0
2019-09-15,17.0
2019-09-29,17.0
2019-10-06,20.0
2019-11-10,15.0
2019-11-17,46.0
2019-12-01,60.0
2019-12-15,20.0
2019-12-29,26.0
2020-01-05,51.0
2020-01-19,15.0
2020-02-02,46.0
2020-02-09,21.0
2020-02-23,58.0
2020-03-08,27.0
2020-03-22,14.0
2020-04-12,20.0
2020-04-26,19.0
2020-05-03,18.0
2020-05-10,32.0
2020-05-17,19.0
2020-05-24,38.0
2020-05-31,25.0
2020-06-07,27.0
2020-06-14,30.0
2020-06-21,19.0
2020-06-28,15.0
2020-07-05,22.0
2020-07-12,56.0
2020-07-19,21.0
2020-07-26,26.0
2020-08-02,16.0
2020-08-09,49.0
2020-08-16,17.0
2020-08-30,28.0
2020-09-06,30.0
2020-09-13,23.0
2020-09-20,27.0
2020-10-11,14.0
2020-10-18,15.0
2020-10-25,39.0
2020-11-22,22.0
2020-11-29,21.0
2020-12-06,34.0
2020-12-20,39.0
2020-12-27,26.0
2021-01-17,63.0
2021-01-24,36.0
2021-01-31,93.0
2021-02-07,44.0
2021-02-14,34.0
2021-02-28,47.0
2021-03-07,24.0
2021-03-14,39.0
2021-03-21,36.0
2021-04-04,15.0
2021-04-11,19.0
2021-04-25,43.0
2021-05-02,31.0
2021-05-09,24.0
2021-05-23,52.0
2021-06-06,35.0
2021-06-13,19.0
2021-06-20,32.0
2021-06-27,21.0
2021-07-04,19.0
2021-07-18,43.0
2021-07-25,25.0
2021-08-01,15.0
2021-08-08,27.0
2021-08-22,44.0
2021-08-29,67.0
2021-09-05,21.0
2021-09-19,76.0
2021-09-26,19.0
2021-10-03,19.0
2021-10-10,25.0
2021-11-07,32.0
2021-11-14,100.0
2021-11-21,38.0
2021-11-28,20.0
2021-12-05,47.0
2022-01-02,72.0
2022-01-09,34.0
2022-01-16,47.0
2022-01-23,38.0
2022-01-30,44.0
2022-02-06,43.0
2022-02-20,36.0
2022-03-06,16.0
2022-03-13,15.0
2022-03-20,33.0
2022-03-27,13.0
2022-04-24,11.0
2022-05-08,38.0
2022-05-22,13.0
2022-06-05,38.0
2022-06-12,27.0
2022-06-19,38.0
2022-06-26,43.0
2022-07-03,24.0
2022-07-10,45.0
2022-07-17,54.0
2022-07-24,40.0
2022-07-31,28.0
2022-08-07,57.0
2022-08-14,38.0
2022-08-28,27.0
2022-09-04,30.0
2022-09-11,28.0
2022-09-18,54.0
2022-10-09,31.0
2022-10-16,46.0
2022-10-23,46.0
2022-10-30,44.0
2022-11-06,35.0
2022-11-13,29.0
2022-11-27,29.0
2022-12-04,29.0
2022-12-11,38.0
2022-12-18,25.0
2022-12-25,39.0
