,MVT_GT_Atlanta GA
2017-01-01,49.0
2017-01-08,42.0
2017-01-15,19.0
2017-01-22,41.0
2017-01-29,42.0
2017-02-05,51.0
2017-02-19,14.0
2017-02-26,14.0
2017-03-05,15.0
2017-03-12,18.0
2017-03-19,23.0
2017-04-02,42.0
2017-04-09,11.0
2017-04-16,16.0
2017-04-23,24.0
2017-04-30,24.0
2017-05-07,30.0
2017-05-14,45.0
2017-05-21,58.0
2017-05-28,17.0
2017-06-04,49.0
2017-06-11,55.0
2017-06-18,34.0
2017-06-25,33.0
2017-07-02,32.0
2017-07-09,57.0
2017-07-16,21.0
2017-07-23,55.0
2017-07-30,31.0
2017-08-06,17.0
2017-08-13,27.0
2017-08-20,52.0
2017-08-27,57.0
2017-09-03,36.0
2017-09-17,24.0
2017-10-01,22.0
2017-10-08,18.0
2017-10-15,16.0
2017-10-22,48.0
2017-10-29,22.0
2017-11-05,62.0
2017-11-12,39.0
2017-11-19,38.0
2017-11-26,24.0
2017-12-03,22.0
2017-12-10,26.0
2017-12-17,20.0
2017-12-24,39.0
2017-12-31,30.0
2018-01-07,52.0
2018-01-14,53.0
2018-01-28,32.0
2018-02-04,26.0
2018-02-11,48.0
2018-02-18,31.0
2018-02-25,21.0
2018-03-04,38.0
2018-03-11,30.0
2018-03-18,17.0
2018-03-25,30.0
2018-04-01,32.0
2018-04-08,47.0
2018-04-15,47.0
2018-04-22,16.0
2018-04-29,32.0
2018-05-06,22.0
2018-05-13,21.0
2018-05-20,25.0
2018-06-03,71.0
2018-06-10,30.0
2018-06-17,20.0
2018-07-01,44.0
2018-07-08,23.0
2018-07-15,56.0
2018-07-22,27.0
2018-07-29,37.0
2018-08-05,37.0
2018-08-12,26.0
2018-08-19,40.0
2018-08-26,27.0
2018-09-02,33.0
2018-09-09,22.0
2018-09-16,84.0
2018-09-23,31.0
2018-09-30,25.0
2018-10-07,69.0
2018-10-14,27.0
2018-10-21,29.0
2018-11-04,20.0
2018-11-11,29.0
2018-11-18,16.0
2018-11-25,45.0
2018-12-02,47.0
2018-12-09,17.0
2018-12-16,15.0
2018-12-30,50.0
2019-01-06,43.0
2019-01-13,26.0
2019-01-20,46.0
2019-02-03,55.0
2019-02-10,34.0
2019-02-17,47.0
2019-02-24,75.0
2019-03-03,66.0
2019-03-17,20.0
2019-04-21,15.0
2019-04-28,24.0
2019-05-05,69.0
2019-05-19,35.0
2019-05-26,22.0
2019-06-02,37.0
2019-06-09,18.0
2019-06-16,20.0
2019-06-23,20.0
2019-06-30,55.0
2019-07-07,50.0
2019-07-14,33.0
2019-07-21,39.0
2019-07-28,13.0
2019-08-04,34.0
2019-08-11,11.0
2019-08-18,29.0
2019-08-25,36.0
2019-09-01,29.0
2019-09-08,45.0
2019-09-15,28.0
2019-09-22,19.0
2019-09-29,29.0
2019-10-06,16.0
2019-10-13,23.0
2019-10-20,20.0
2019-10-27,27.0
2019-11-03,36.0
2019-11-10,29.0
2019-11-17,54.0
2019-12-01,55.0
2019-12-08,100.0
2019-12-15,39.0
2019-12-22,38.0
2020-01-05,29.0
2020-01-19,26.0
2020-01-26,23.0
2020-02-02,20.0
2020-02-09,34.0
2020-02-16,44.0
2020-02-23,38.0
2020-03-01,35.0
2020-03-08,31.0
2020-03-22,49.0
2020-03-29,16.0
2020-04-05,35.0
2020-04-12,31.0
2020-04-19,19.0
2020-05-03,23.0
2020-05-10,26.0
2020-05-17,24.0
2020-05-31,11.0
2020-06-07,17.0
2020-06-14,25.0
2020-06-21,35.0
2020-06-28,35.0
2020-07-05,40.0
2020-07-19,28.0
2020-07-26,29.0
2020-08-02,32.0
2020-08-09,36.0
2020-08-16,22.0
2020-08-23,36.0
2020-08-30,24.0
2020-09-06,23.0
2020-09-13,35.0
2020-09-20,26.0
2020-09-27,43.0
2020-10-04,26.0
2020-10-11,24.0
2020-10-18,17.0
2020-10-25,30.0
2020-11-01,41.0
2020-11-08,23.0
2020-11-15,17.0
2020-11-22,19.0
2020-11-29,22.0
2020-12-06,38.0
2020-12-13,41.0
2020-12-20,38.0
2020-12-27,51.0
2021-01-03,47.0
2021-01-10,27.0
2021-01-24,40.0
2021-01-31,38.0
2021-02-07,21.0
2021-02-28,27.0
2021-03-07,14.0
2021-03-14,29.0
2021-03-21,22.0
2021-03-28,22.0
2021-04-04,58.0
2021-04-11,29.0
2021-04-18,19.0
2021-04-25,61.0
2021-05-02,36.0
2021-05-09,44.0
2021-05-16,34.0
2021-05-23,97.0
2021-05-30,31.0
2021-06-06,35.0
2021-06-13,20.0
2021-06-20,29.0
2021-06-27,20.0
2021-07-04,29.0
2021-07-11,61.0
2021-07-18,60.0
2021-07-25,33.0
2021-08-01,17.0
2021-08-08,47.0
2021-08-15,39.0
2021-08-22,12.0
2021-08-29,44.0
2021-09-05,37.0
2021-09-12,38.0
2021-09-19,30.0
2021-09-26,33.0
2021-10-03,25.0
2021-10-17,28.0
2021-10-31,16.0
2021-11-07,46.0
2021-11-14,13.0
2021-11-21,35.0
2021-11-28,41.0
2021-12-05,22.0
2021-12-12,49.0
2021-12-19,37.0
2022-01-02,31.0
2022-01-16,47.0
2022-01-23,19.0
2022-01-30,26.0
2022-02-06,34.0
2022-02-13,15.0
2022-02-20,27.0
2022-03-06,39.0
2022-03-13,38.0
2022-03-27,22.0
2022-04-03,23.0
2022-04-10,34.0
2022-04-24,34.0
2022-05-01,44.0
2022-05-08,26.0
2022-05-15,77.0
2022-05-22,50.0
2022-05-29,31.0
2022-06-12,52.0
2022-06-19,57.0
2022-06-26,20.0
2022-07-03,37.0
2022-07-17,25.0
2022-07-24,72.0
2022-07-31,13.0
2022-08-07,38.0
2022-08-14,40.0
2022-08-21,27.0
2022-08-28,26.0
2022-09-04,49.0
2022-09-11,31.0
2022-09-18,41.0
2022-09-25,25.0
2022-10-02,18.0
2022-10-09,25.0
2022-10-16,22.0
2022-10-23,40.0
2022-10-30,24.0
2022-11-06,59.0
2022-11-13,86.0
2022-11-20,31.0
2022-11-27,42.0
2022-12-04,41.0
2022-12-11,42.0
2022-12-18,59.0
2022-12-25,12.0
