,MVT_GT_Chicago IL
2017-01-01,16.0
2017-01-08,41.0
2017-01-15,53.0
2017-01-22,30.0
2017-01-29,52.0
2017-02-05,19.0
2017-02-12,25.0
2017-02-19,11.0
2017-02-26,26.0
2017-03-05,27.0
2017-03-12,31.0
2017-03-19,23.0
2017-04-02,17.0
2017-04-09,15.0
2017-04-16,22.0
2017-04-23,34.0
2017-04-30,31.0
2017-05-07,50.0
2017-05-14,41.0
2017-05-21,25.0
2017-05-28,11.0
2017-06-04,56.0
2017-06-18,28.0
2017-06-25,43.0
2017-07-02,95.0
2017-07-09,40.0
2017-07-16,46.0
2017-07-23,61.0
2017-07-30,42.0
2017-08-06,40.0
2017-08-13,29.0
2017-08-27,29.0
2017-09-10,33.0
2017-09-17,26.0
2017-09-24,25.0
2017-10-01,11.0
2017-10-08,18.0
2017-10-22,42.0
2017-10-29,30.0
2017-11-05,45.0
2017-11-12,66.0
2017-11-19,35.0
2017-11-26,31.0
2017-12-03,16.0
2017-12-10,22.0
2017-12-17,54.0
2017-12-24,24.0
2017-12-31,46.0
2018-01-07,41.0
2018-01-14,19.0
2018-01-21,35.0
2018-02-04,15.0
2018-02-11,22.0
2018-02-18,34.0
2018-02-25,22.0
2018-03-04,36.0
2018-03-11,10.0
2018-03-18,42.0
2018-03-25,16.0
2018-04-01,43.0
2018-04-08,47.0
2018-04-15,41.0
2018-04-22,20.0
2018-04-29,22.0
2018-05-06,25.0
2018-05-13,33.0
2018-05-20,42.0
2018-06-03,31.0
2018-06-10,17.0
2018-06-17,19.0
2018-06-24,25.0
2018-07-01,22.0
2018-07-15,19.0
2018-07-22,22.0
2018-08-05,30.0
2018-08-12,26.0
2018-08-19,15.0
2018-08-26,29.0
2018-09-02,33.0
2018-09-09,22.0
2018-09-23,23.0
2018-10-07,26.0
2018-10-14,22.0
2018-10-21,35.0
2018-10-28,33.0
2018-11-04,26.0
2018-11-11,26.0
2018-11-18,19.0
2018-11-25,21.0
2018-12-02,23.0
2018-12-09,41.0
2018-12-16,45.0
2018-12-23,37.0
2018-12-30,27.0
2019-01-06,33.0
2019-01-13,31.0
2019-01-20,9.0
2019-01-27,19.0
2019-02-03,51.0
2019-02-10,29.0
2019-02-17,51.0
2019-02-24,10.0
2019-03-10,14.0
2019-03-24,32.0
2019-03-31,26.0
2019-04-07,28.0
2019-04-14,37.0
2019-04-21,50.0
2019-04-28,37.0
2019-05-05,20.0
2019-05-12,37.0
2019-05-19,34.0
2019-05-26,26.0
2019-06-02,34.0
2019-06-09,32.0
2019-06-16,39.0
2019-06-23,11.0
2019-06-30,24.0
2019-07-07,59.0
2019-07-14,44.0
2019-07-21,29.0
2019-08-11,46.0
2019-08-18,62.0
2019-08-25,20.0
2019-09-01,40.0
2019-09-22,14.0
2019-09-29,30.0
2019-10-06,46.0
2019-10-20,30.0
2019-10-27,15.0
2019-11-03,30.0
2019-11-10,25.0
2019-11-17,11.0
2019-11-24,22.0
2019-12-01,29.0
2019-12-08,60.0
2019-12-15,63.0
2019-12-22,36.0
2019-12-29,19.0
2020-01-05,45.0
2020-01-12,26.0
2020-01-19,25.0
2020-01-26,48.0
2020-02-02,40.0
2020-02-09,66.0
2020-02-16,19.0
2020-02-23,17.0
2020-03-01,39.0
2020-03-08,12.0
2020-03-22,28.0
2020-03-29,17.0
2020-04-05,18.0
2020-04-12,11.0
2020-04-26,13.0
2020-05-03,12.0
2020-05-10,12.0
2020-05-24,23.0
2020-05-31,49.0
2020-06-14,30.0
2020-06-21,9.0
2020-06-28,33.0
2020-07-12,49.0
2020-07-19,35.0
2020-07-26,37.0
2020-08-02,35.0
2020-08-09,28.0
2020-08-16,42.0
2020-08-23,34.0
2020-08-30,31.0
2020-09-06,26.0
2020-09-13,22.0
2020-09-20,25.0
2020-09-27,22.0
2020-10-04,40.0
2020-10-11,48.0
2020-10-18,11.0
2020-10-25,34.0
2020-11-01,30.0
2020-11-08,24.0
2020-11-15,55.0
2020-11-22,30.0
2020-11-29,12.0
2020-12-06,37.0
2020-12-13,27.0
2020-12-20,100.0
2020-12-27,50.0
2021-01-03,40.0
2021-01-10,31.0
2021-01-17,59.0
2021-01-24,44.0
2021-01-31,77.0
2021-02-07,15.0
2021-02-14,21.0
2021-02-21,18.0
2021-02-28,33.0
2021-03-07,28.0
2021-03-14,64.0
2021-03-21,21.0
2021-03-28,48.0
2021-04-04,13.0
2021-04-11,41.0
2021-04-18,44.0
2021-04-25,57.0
2021-05-02,24.0
2021-05-16,37.0
2021-05-23,74.0
2021-05-30,16.0
2021-06-06,18.0
2021-06-13,52.0
2021-06-20,17.0
2021-07-11,51.0
2021-07-18,53.0
2021-07-25,29.0
2021-08-01,24.0
2021-08-15,40.0
2021-08-22,11.0
2021-08-29,43.0
2021-09-05,19.0
2021-09-12,27.0
2021-09-19,42.0
2021-10-03,18.0
2021-10-10,24.0
2021-10-17,42.0
2021-10-24,67.0
2021-10-31,29.0
2021-11-07,56.0
2021-11-14,35.0
2021-11-21,27.0
2021-11-28,47.0
2021-12-05,33.0
2021-12-12,63.0
2021-12-19,30.0
2021-12-26,32.0
2022-01-02,42.0
2022-01-09,50.0
2022-01-16,42.0
2022-01-23,19.0
2022-01-30,17.0
2022-02-20,42.0
2022-03-06,36.0
2022-03-13,57.0
2022-03-20,69.0
2022-03-27,33.0
2022-04-03,20.0
2022-04-10,26.0
2022-04-17,43.0
2022-04-24,47.0
2022-05-01,22.0
2022-05-08,33.0
2022-05-15,50.0
2022-05-22,58.0
2022-05-29,33.0
2022-06-05,28.0
2022-06-12,36.0
2022-06-19,48.0
2022-06-26,69.0
2022-07-03,27.0
2022-07-10,67.0
2022-07-17,72.0
2022-07-24,42.0
2022-07-31,30.0
2022-08-07,50.0
2022-08-14,96.0
2022-08-21,42.0
2022-08-28,53.0
2022-09-04,22.0
2022-09-11,47.0
2022-09-18,45.0
2022-09-25,37.0
2022-10-02,64.0
2022-10-09,16.0
2022-10-16,85.0
2022-10-23,57.0
2022-10-30,96.0
2022-11-06,35.0
2022-11-13,39.0
2022-11-20,51.0
2022-11-27,33.0
2022-12-04,51.0
2022-12-11,65.0
2022-12-18,56.0
2022-12-25,52.0
