,MVT_GT_San Antonio TX
2017-01-22,24.0
2017-02-05,22.0
2017-02-12,52.0
2017-02-19,32.0
2017-04-02,48.0
2017-04-16,21.0
2017-04-23,53.0
2017-05-14,27.0
2017-05-21,46.0
2017-06-04,21.0
2017-06-11,36.0
2017-06-18,57.0
2017-06-25,21.0
2017-07-02,23.0
2017-08-20,25.0
2017-09-17,20.0
2017-10-01,28.0
2017-10-08,21.0
2017-11-05,23.0
2017-11-12,22.0
2017-11-26,25.0
2017-12-03,35.0
2017-12-24,76.0
2018-01-14,49.0
2018-01-21,25.0
2018-01-28,23.0
2018-02-04,61.0
2018-02-25,46.0
2018-03-25,34.0
2018-04-08,23.0
2018-05-06,21.0
2018-05-13,31.0
2018-06-24,22.0
2018-07-08,30.0
2018-07-22,56.0
2018-08-19,42.0
2018-09-02,39.0
2018-09-16,31.0
2018-10-07,34.0
2018-10-14,46.0
2019-02-17,30.0
2019-02-24,32.0
2019-03-03,54.0
2019-03-31,23.0
2019-04-07,57.0
2019-05-12,20.0
2019-05-26,20.0
2019-06-02,59.0
2019-08-11,36.0
2019-09-29,20.0
2019-10-06,16.0
2019-11-03,29.0
2019-11-10,19.0
2019-11-17,48.0
2019-11-24,13.0
2019-12-08,36.0
2019-12-29,26.0
2020-01-19,22.0
2020-02-02,29.0
2020-02-16,23.0
2020-02-23,60.0
2020-03-01,46.0
2020-03-08,54.0
2020-03-29,14.0
2020-04-05,56.0
2020-04-19,23.0
2020-05-10,15.0
2020-05-24,25.0
2020-06-07,42.0
2020-06-21,17.0
2020-07-12,25.0
2020-07-19,74.0
2020-07-26,21.0
2020-09-13,18.0
2020-09-20,20.0
2020-10-11,28.0
2020-11-01,17.0
2020-12-06,28.0
2021-01-17,30.0
2021-02-07,30.0
2021-02-21,52.0
2021-03-21,38.0
2021-04-04,83.0
2021-04-25,53.0
2021-05-09,18.0
2021-06-13,17.0
2021-06-20,22.0
2021-07-04,17.0
2021-07-11,18.0
2021-07-18,17.0
2021-08-15,20.0
2021-10-10,27.0
2021-10-24,23.0
2021-10-31,18.0
2021-11-07,38.0
2021-11-14,25.0
2021-11-28,100.0
2022-01-30,42.0
2022-02-20,24.0
2022-02-27,21.0
2022-03-13,19.0
2022-03-20,26.0
2022-03-27,17.0
2022-04-17,31.0
2022-04-24,13.0
2022-05-01,45.0
2022-05-08,25.0
2022-05-15,38.0
2022-05-22,63.0
2022-06-12,47.0
2022-07-17,28.0
2022-07-24,64.0
2022-07-31,24.0
2022-08-14,33.0
2022-09-18,43.0
2022-10-02,50.0
2022-10-16,16.0
2022-10-23,32.0
2022-12-04,34.0
2022-12-25,22.0
